id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,Language1,Language2,Language3,LogEffort,LogPtsAjust,LogTransac,LogEntity
1,1,1,4,85,12,5152,253,52,305,34,302,1,1,0,0,3.71,2.48,2.4,1.72
3,3,4,4,85,1,805,40,60,100,18,83,1,1,0,0,2.91,1.92,1.6,1.78
4,4,0,0,86,5,3829,200,119,319,30,303,1,1,0,0,3.58,2.48,2.3,2.08
5,5,0,0,86,4,2149,140,94,234,24,208,1,1,0,0,3.33,2.32,2.15,1.97
6,6,0,0,86,4,2821,97,89,186,38,192,1,1,0,0,3.45,2.28,1.99,1.95
7,7,2,1,85,9,2569,119,42,161,25,145,2,0,1,0,3.41,2.16,2.08,1.62
8,8,1,2,83,13,3913,186,52,238,25,214,1,1,0,0,3.59,2.33,2.27,1.72
9,9,3,1,85,12,7854,172,88,260,30,247,1,1,0,0,3.9,2.39,2.24,1.94
10,10,3,4,83,4,2422,78,38,116,24,103,1,1,0,0,3.38,2.01,1.89,1.58
11,11,4,1,84,21,4067,167,99,266,24,237,1,1,0,0,3.61,2.37,2.22,2.00
12,12,2,1,84,17,9051,146,112,258,40,271,1,1,0,0,3.96,2.43,2.16,2.05
13,13,1,1,84,3,2282,33,72,105,19,88,1,1,0,0,3.36,1.94,1.52,1.86
14,14,3,4,85,8,4172,162,61,223,32,216,1,1,0,0,3.62,2.33,2.21,1.79
15,15,4,4,85,9,4977,223,121,344,28,320,1,1,0,0,3.7,2.51,2.35,2.08
16,16,3,2,85,8,1617,119,48,167,26,152,2,0,1,0,3.21,2.18,2.08,1.68
17,17,4,3,85,8,3192,57,43,100,43,108,1,1,0,0,3.5,2.03,1.76,1.63
18,18,4,4,86,14,3437,68,316,384,20,326,2,0,1,0,3.54,2.51,1.83,2.50
19,19,3,4,87,14,4494,9,386,395,21,340,2,0,1,0,3.65,2.53,0.95,2.59
20,20,4,2,86,5,840,58,34,92,29,86,1,1,0,0,2.92,1.93,1.76,1.53
21,21,4,4,86,12,14973,318,269,587,34,581,2,0,1,0,4.18,2.76,2.5,2.43
23,23,2,4,86,5,5775,306,132,438,37,447,1,1,0,0,3.76,2.65,2.49,2.12
24,24,4,1,87,20,10577,304,78,382,39,397,1,1,0,0,4.02,2.6,2.48,1.89
25,25,1,4,86,8,3983,89,200,289,33,283,1,1,0,0,3.6,2.45,1.95,2.30
26,26,4,1,85,14,3164,86,230,316,33,310,1,1,0,0,3.5,2.49,1.93,2.36
27,27,2,0,86,6,3542,71,235,306,37,312,1,1,0,0,3.55,2.49,1.85,2.37
28,28,3,1,85,14,4277,148,324,472,39,491,1,1,0,0,3.63,2.69,2.17,2.51
29,29,4,4,85,16,7252,116,170,286,27,263,1,1,0,0,3.86,2.42,2.06,2.23
30,30,4,1,85,14,3948,175,277,452,37,461,1,1,0,0,3.6,2.66,2.24,2.44
33,33,4,4,87,9,2429,174,78,252,41,267,3,0,0,1,3.39,2.43,2.24,1.89
34,34,1,1,85,5,6405,194,91,285,35,285,1,1,0,0,3.81,2.45,2.29,1.96
