Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language1,Language2,Language3,LogEffort,LogPtsAjust,LogTransac
1,4,3,85,8,3.5,57,43,100,43,108,1,0,0,3.5,2.03,1.76
2,4,2,86,5,2.92,58,34,92,29,86,1,0,0,2.92,1.93,1.76
3,4,1,85,14,3.6,175,277,452,37,461,1,0,0,3.6,2.66,2.24
4,1,1,85,5,3.81,194,91,285,35,285,1,0,0,3.81,2.45,2.29
5,1,1,88,10,3.34,64,54,118,25,106,1,0,0,3.34,2.03,1.81
6,4,3,83,12,3.45,227,73,300,34,297,1,0,0,3.45,2.47,2.36
7,1,4,85,12,3.71,253,52,305,34,302,1,0,0,3.71,2.48,2.4
8,0,0,86,4,3.75,197,124,321,33,315,1,0,0,3.75,2.5,2.29
9,4,4,85,1,2.91,40,60,100,18,83,1,0,0,2.91,1.92,1.6
10,0,0,86,5,3.58,200,119,319,30,303,1,0,0,3.58,2.48,2.3
11,0,0,86,4,3.33,140,94,234,24,208,1,0,0,3.33,2.32,2.15
12,0,0,86,4,3.45,97,89,186,38,192,1,0,0,3.45,2.28,1.99
13,2,1,85,9,3.41,119,42,161,25,145,0,1,0,3.41,2.16,2.08
14,1,2,83,13,3.59,186,52,238,25,214,1,0,0,3.59,2.33,2.27
15,3,1,85,12,3.9,172,88,260,30,247,1,0,0,3.9,2.39,2.24
16,3,4,83,4,3.38,78,38,116,24,103,1,0,0,3.38,2.01,1.89
17,4,1,84,21,3.61,167,99,266,24,237,1,0,0,3.61,2.37,2.22
18,2,1,84,17,3.96,146,112,258,40,271,1,0,0,3.96,2.43,2.16
19,1,1,84,3,3.36,33,72,105,19,88,1,0,0,3.36,1.94,1.52
20,3,4,85,8,3.62,162,61,223,32,216,1,0,0,3.62,2.33,2.21
21,4,4,85,9,3.7,223,121,344,28,320,1,0,0,3.7,2.51,2.35
22,3,2,85,8,3.21,119,48,167,26,152,0,1,0,3.21,2.18,2.08
23,3,4,87,14,3.65,9,386,395,21,340,0,1,0,3.65,2.53,0.95
24,4,2,86,5,2.92,58,34,92,29,86,1,0,0,2.92,1.93,1.76
25,4,4,86,12,4.18,318,269,587,34,581,0,1,0,4.18,2.76,2.5
26,2,4,85,18,3.71,88,170,258,34,255,1,0,0,3.71,2.41,1.94
27,2,4,86,5,3.76,306,132,438,37,447,1,0,0,3.76,2.65,2.49
28,4,1,87,20,4.02,304,78,382,39,397,1,0,0,4.02,2.6,2.48
